"price","make","kms","fuel","seller","tx","owner","mileage","esize","power"
75,"Other",90,"Diesel","Individual","Manual","Second ",12.8,1489,35.5
99,"Other",100,"Diesel","Individual","Manual","Second ",12.8,1995,52
122,"Other",60,"Diesel","Individual","Manual","Second ",12.8,1995,52
200,"Other",80,"Diesel","Individual","Manual","Third or above",13.5,1995,52
300,"Other",200,"Diesel","Individual","Manual","Second ",20.07,1461,75
1689.999,"Other",50,"Diesel","Dealer","Automatic","First ",18.53,1968,187.74
3975,"Other",31.8,"Diesel","Dealer","Automatic","First ",17.01,1968,188
2650,"Other",53,"Diesel","Dealer","Automatic","First ",12.07,2967,241.4
1300,"Other",120,"Diesel","Individual","Automatic","First ",12.8,1968,167.6
3975,"Other",31.8,"Diesel","Dealer","Automatic","First ",17.01,1968,188
3975,"Other",31.8,"Diesel","Dealer","Automatic","First ",17.01,1968,188
2825,"Other",22,"Diesel","Dealer","Automatic","First ",15.73,1968,174.33
2600,"Other",70,"Diesel","Individual","Automatic","First ",20.38,1968,143
1850,"Other",76.131,"Diesel","Individual","Automatic","First ",13.22,2967,241.4
3000,"Other",65,"Diesel","Individual","Automatic","First ",12.07,2967,241.4
1850,"Other",70,"Diesel","Individual","Automatic","First ",12.07,2967,241.4
2800,"Other",26,"Diesel","Dealer","Automatic","First ",15.73,1968,174.33
1750,"Other",37,"Diesel","Dealer","Automatic","First ",18.25,1968,187.74
3975,"Other",31.8,"Diesel","Dealer","Automatic","First ",17.01,1968,188
2375,"Other",30,"Diesel","Dealer","Automatic","First ",15.73,1968,174.33
2900,"Other",15,"Diesel","Dealer","Automatic","First ",18.25,1968,187.74
3975,"Other",31.8,"Diesel","Dealer","Automatic","First ",17.01,1968,188
1898.999,"Other",46,"Diesel","Dealer","Automatic","First ",18.25,1968,187.74
1200,"Other",110,"Diesel","Individual","Automatic","First ",17.11,1968,174.33
3000,"Other",20,"Diesel","Individual","Automatic","First ",20.38,1968,143
2825,"Other",22,"Diesel","Dealer","Automatic","First ",15.73,1968,174.33
2450,"Other",30,"Diesel","Dealer","Automatic","First ",18.25,1968,187.74
2200,"Other",60,"Diesel","Individual","Automatic","First ",17.68,1968,174.33
3975,"Other",31.8,"Diesel","Dealer","Automatic","First ",17.01,1968,188
1500,"Other",60,"Diesel","Individual","Automatic","First ",16.55,1968,147.51
1850,"Other",76.131,"Diesel","Individual","Automatic","First ",13.22,2967,241.4
